correction_model,dataset,model,noise_type,data_coverage,fit_time (s),mse,mape,sample_size
MLP10_10_200iter,cifar10,cusCNN,determ,0.7,34.004164695739746,0.00026223648,0.001121281,1451031
MLP10_10_200iter,cifar10,cusCNN,determ,0.9,40.283961057662964,0.00031068447,0.0010593107,1865611
MLP10_10_200iter,cifar10,cusCNN,determ,1.0,48.19743990898132,0.00022940157,0.0011295127,2072902
MLP10_10_200iter,cifar10,resnet18,determ,0.1,25.208463191986084,5.158331e-08,3.2748514e-05,1118164
MLP10_10_200iter,cifar10,resnet18,determ,0.3,71.62852454185486,7.847623e-08,0.00015780915,3354492
MLP10_10_200iter,cifar10,resnet18,determ,0.5,131.3868215084076,7.176762e-08,0.00011416896,5590821
MLP10_10_200iter,cifar10,resnet18,determ,0.7,189.22337245941162,6.23708e-08,0.00012274965,7827149
MLP10_10_200iter,cifar10,resnet18,determ,0.9,245.24252223968506,1.5017502e-08,0.000104805884,10063477
MLP10_10_200iter,cifar10,resnet18,determ,1.0,260.49305844306946,4.89827e-08,0.00016497873,11181642
MLP10_10_200iter,cifar100,cusCNN,determ,0.1,4.1713197231292725,1.773152e-05,0.00033233047,211799
MLP10_10_200iter,cifar100,cusCNN,determ,0.3,13.445250034332275,1.4992143e-05,0.0003394459,635397
MLP10_10_200iter,cifar100,cusCNN,determ,0.5,21.971709966659546,1.2979448e-05,0.00021341823,1058996
MLP10_10_200iter,cifar100,cusCNN,determ,0.7,32.5868194103241,1.4531401e-05,0.00033425834,1482594
MLP10_10_200iter,cifar100,cusCNN,determ,0.9,43.666244983673096,2.1815837e-05,0.00022493665,1906192
MLP10_10_200iter,cifar100,cusCNN,determ,1.0,48.583885192871094,2.6190246e-05,0.00033184627,2117992
MLP10_10_200iter,cifar100,resnet18,determ,0.1,25.273678064346313,3.668303e-08,0.00017808443,1122781
MLP10_10_200iter,cifar100,resnet18,determ,0.3,72.83692455291748,1.1643335e-08,6.2930594e-05,3368343
MLP10_10_200iter,cifar100,resnet18,determ,0.5,123.10092329978943,9.350315e-09,5.9697777e-05,5613906
MLP10_10_200iter,cifar100,resnet18,determ,0.7,175.9719786643982,2.9234222e-08,0.0001315298,7859468
MLP10_10_200iter,cifar100,resnet18,determ,0.9,230.05230808258057,9.537413e-09,2.6477674e-05,10105030
MLP10_10_200iter,cifar100,resnet18,determ,1.0,301.3923399448395,2.8308065e-09,6.55199e-06,11227812
MLP10_10_200iter,mnist,cusMLP,randm_proc,0.1,0.7545182704925537,3.4343606e-07,0.0003402991,46887
MLP10_10_200iter,mnist,cusMLP,randm_proc,0.3,2.6126179695129395,3.4286373e-07,0.00033939825,140662
MLP10_10_200iter,mnist,cusMLP,randm_proc,0.5,5.0229363441467285,3.4623588e-07,0.00034962955,234437
MLP10_10_200iter,mnist,cusMLP,randm_proc,0.7,7.507443904876709,3.5677942e-07,0.0003691134,328211
MLP10_10_200iter,mnist,cusMLP,randm_proc,0.9,9.073307991027832,3.448578e-07,0.00034628005,421986
MLP10_10_200iter,mnist,cusMLP,randm_proc,1.0,10.381927728652954,3.4314272e-07,0.0003402747,468874
MLP10_10_200iter,cifar10,cusCNN,randm_proc,0.1,4.093865156173706,0.00022950805,0.00093510456,207290
MLP10_10_200iter,cifar10,cusCNN,randm_proc,0.3,13.62636113166809,0.0002294262,0.000992302,621870
MLP10_10_200iter,cifar10,cusCNN,randm_proc,0.5,24.64385151863098,0.00022939344,0.0010047324,1036451
MLP10_10_200iter,cifar10,cusCNN,randm_proc,0.7,35.955015897750854,0.00022943427,0.000976621,1451031
MLP10_10_200iter,cifar10,cusCNN,randm_proc,0.9,47.35988712310791,0.00022943999,0.0010017718,1865611
MLP10_10_200iter,cifar10,cusCNN,randm_proc,1.0,51.66358780860901,0.00022954876,0.0009804568,2072902
MLP10_10_200iter,cifar10,resnet18,randm_proc,0.1,25.90270185470581,2.8745708e-06,0.0002591897,1118164
MLP10_10_200iter,cifar10,resnet18,randm_proc,0.3,86.91434144973755,3.2016026e-06,0.00072401116,3354492
MLP10_10_200iter,cifar10,resnet18,randm_proc,0.5,147.09002113342285,2.8746517e-06,0.00026030838,5590821
MLP10_10_200iter,cifar10,resnet18,randm_proc,0.7,184.33182740211487,2.8777636e-06,0.0002831951,7827149
MLP10_10_200iter,cifar10,resnet18,randm_proc,0.9,240.88768362998962,2.9252783e-06,0.0004175556,10063477
MLP10_10_200iter,cifar10,resnet18,randm_proc,1.0,268.30227184295654,2.8756149e-06,0.00026879343,11181642
MLP10_10_200iter,cifar100,cusCNN,randm_proc,0.1,4.8068625926971436,1.6160664e-05,0.00024720997,211799
MLP10_10_200iter,cifar100,cusCNN,randm_proc,0.3,15.796386957168579,1.6171538e-05,0.00020223796,635397
MLP10_10_200iter,cifar100,cusCNN,randm_proc,0.5,25.56290626525879,1.6155198e-05,0.00033723246,1058996
MLP10_10_200iter,cifar100,cusCNN,randm_proc,0.7,33.611165046691895,1.615665e-05,0.00027647635,1482594
MLP10_10_200iter,cifar100,cusCNN,randm_proc,0.9,45.80898451805115,1.6182203e-05,0.00023055056,1906192
MLP10_10_200iter,cifar100,cusCNN,randm_proc,1.0,51.86742067337036,1.615497e-05,0.00033473832,2117992
MLP10_10_200iter,cifar100,resnet18,randm_proc,0.1,25.350810527801514,2.6981747e-06,0.0003960177,1122781
MLP10_10_200iter,cifar100,resnet18,randm_proc,0.3,83.64717245101929,2.6449252e-06,0.00024045266,3368343
MLP10_10_200iter,cifar100,resnet18,randm_proc,0.5,132.9640920162201,2.652497e-06,0.00028150342,5613906
MLP10_10_200iter,cifar100,resnet18,randm_proc,0.7,203.86991167068481,2.645563e-06,0.00024636197,7859468
MLP10_10_200iter,cifar100,resnet18,randm_proc,0.9,261.577841758728,2.6755072e-06,0.00035292015,10105030
MLP10_10_200iter,cifar100,resnet18,randm_proc,1.0,275.6456663608551,2.662481e-06,0.0003191239,11227812
MLP10_10_200iter,cifar10,resnet18,randm,0.1,25.387897491455078,3.0886558e-06,0.00062192243,1118164
MLP10_10_200iter,cifar10,resnet18,randm,0.3,74.35896706581116,2.9567748e-06,0.0004701395,3354492
MLP10_10_200iter,cifar10,resnet18,randm,0.5,120.43935346603394,2.8877603e-06,0.00032755593,5590821
MLP10_10_200iter,cifar10,resnet18,randm,0.7,191.8872528076172,2.880652e-06,0.000299762,7827149
MLP10_10_200iter,cifar10,resnet18,randm,0.9,259.098539352417,2.8771128e-06,0.00028107857,10063477
MLP10_10_200iter,cifar10,resnet18,randm,1.0,265.65794801712036,2.9368202e-06,0.00043673508,11181642
MLP10_10_200iter,cifar100,cusCNN,randm,0.1,4.880529403686523,1.6173371e-05,0.00021005404,211799
MLP10_10_200iter,cifar100,cusCNN,randm,0.3,13.777198791503906,1.6155662e-05,0.00029738003,635397
MLP10_10_200iter,cifar100,cusCNN,randm,0.5,23.72592258453369,1.6175756e-05,0.00021038165,1058996
MLP10_10_200iter,cifar100,cusCNN,randm,0.7,35.94010853767395,1.6172078e-05,0.00044150857,1482594
MLP10_10_200iter,cifar100,cusCNN,randm,0.9,43.52331495285034,1.6155409e-05,0.0003415732,1906192
MLP10_10_200iter,cifar100,cusCNN,randm,1.0,47.92133593559265,1.616114e-05,0.00024316397,2117992
MLP10_10_200iter,cifar100,resnet18,randm,0.1,25.45165514945984,2.6526254e-06,0.00028522385,1122781
MLP10_10_200iter,cifar100,resnet18,randm,0.3,82.01115846633911,2.673355e-06,0.00034791976,3368343
MLP10_10_200iter,cifar100,resnet18,randm,0.5,132.18090438842773,2.651791e-06,0.00028170817,5613906
MLP10_10_200iter,cifar100,resnet18,randm,0.7,188.53801560401917,2.6476735e-06,0.00025802178,7859468
MLP10_10_200iter,cifar100,resnet18,randm,0.9,267.7046682834625,2.778007e-06,0.00051287643,10105030
MLP10_10_200iter,cifar100,resnet18,randm,1.0,275.548326253891,2.7386727e-06,0.0004611837,11227812
MLP10_10_200iter,mnist,cusMLP,randm,0.1,0.8711097240447998,3.445998e-07,0.0003442553,46887
MLP10_10_200iter,mnist,cusMLP,randm,0.3,2.9296858310699463,3.4413233e-07,0.00034433807,140662
MLP10_10_200iter,mnist,cusMLP,randm,0.5,5.36018967628479,3.427582e-07,0.00034008792,234437
MLP10_10_200iter,mnist,cusMLP,randm,0.7,7.675595998764038,3.4573648e-07,0.00034684408,328211
MLP10_10_200iter,mnist,cusMLP,randm,0.9,9.762872219085693,3.429984e-07,0.000339802,421986
MLP10_10_200iter,mnist,cusMLP,randm,1.0,10.720819473266602,3.4681386e-07,0.00035082444,468874
MLP10_10_200iter,cifar10,cusCNN,randm,0.1,4.744638919830322,0.00022944904,0.00096195354,207290
MLP10_10_200iter,cifar10,cusCNN,randm,0.3,14.441176891326904,0.00022956064,0.00094942964,621870
MLP10_10_200iter,cifar10,cusCNN,randm,0.5,25.368040323257446,0.00022954874,0.0009354309,1036451
MLP10_10_200iter,cifar10,cusCNN,randm,0.7,37.49125266075134,0.00022956064,0.00094951555,1451031
MLP10_10_200iter,cifar10,cusCNN,randm,0.9,47.59550952911377,0.00022953229,0.0009167629,1865611
MLP10_10_200iter,cifar10,cusCNN,randm,1.0,52.282421350479126,0.00022948756,0.00090438913,2072902
